1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,34. CHEMICAL
2021,07036SFTYK1200S,1.10E+11,SAFETY-KLEEN SYSTEMS INC,1200 SYLVAN ST,LINDEN,UNION,NJ,7036,"N,N-Dimethylformamide"
2021,07114NWJRS139HA,1.10E+11,NEW JERSEY GALVANIZING & TINNING WORKS,139 HAYNES AVE,NEWARK,ESSEX,NJ,7114,Zinc compounds
2021,07036SFTYK1200S,1.10E+11,SAFETY-KLEEN SYSTEMS INC,1200 SYLVAN ST,LINDEN,UNION,NJ,7036,Certain glycol ethers
2021,07105NWRKT909DE,1.10E+11,SHELL OIL PRODUCTS US NEWARK TERMINAL,909 DELANCY ST,NEWARK,ESSEX,NJ,7105,Lead compounds
2021,07083MRCNP610RA,1.10E+11,AMERICAN PRODUCTS CO,610 RAHWAY AVE,UNION,UNION,NJ,7083,Lead
2021,08096GLFLL920KI,1.10E+11,GULF OIL LP WOODBURY TERMINAL,920 KINGS HWY,THOROFARE,GLOUCESTER,NJ,8086,Cyclohexane
2021,08884SPRRSPOBOX,1.10E+11,SUPERIOR SIGNAL CO LLC,178 - 182 W GREYSTONE RD,OLD BRIDGE,MIDDLESEX,NJ,8857,Zinc compounds
2021,07503PRSRN91MIC,1.10E+11,PARISER INDUSTRIES INC.,91 MICHIGAN AVE,PATERSON,PASSAIC,NJ,7503,Certain glycol ethers
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,"1,3-Butadiene"
2021,07036SFTYK1200S,1.10E+11,SAFETY-KLEEN SYSTEMS INC,1200 SYLVAN ST,LINDEN,UNION,NJ,7036,"Benzo[g,h,i]perylene"
2021,07114RHSKR131MA,1.10E+11,AAK USA INC PORT NEWARK,131 MARSH ST,NEWARK,ESSEX,NJ,7114,Nickel compounds
2021,0708WBNKRS164NE,1.10E+11,BANKER STEEL NEW JERSEY,1640 NEW MARKET AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,Chromium
2021,07032SWWST115JA,1.10E+11,CLEAN EARTH OF NORTH JERSEY INC,105 JACOBUS AVE,KEARNY,HUDSON,NJ,7032,Zinc compounds
2021,07036XXNXX1400P,1.10E+11,PHILLIPS 66 CO-BAYWAY REFINERY,1400 PARK AVE,LINDEN,UNION,NJ,7036,Methanol
2021,07544KRKRC1EAST,1.10E+11,KIRKER ENTERPRISES INC,1 E 11TH ST,PATERSON,PASSAIC,NJ,7524,n-Butyl alcohol
2021,0708WKYSTN3451S,1.10E+11,KEYSTONE PLASTICS INC.,3451 SOUTH CLINTON AVENUE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,Copper
2021,07001PRDSL211RA,1.10E+11,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,MIDDLESEX,NJ,7001,Cyclohexanol
2021,07201GDNVTNAVED,1.10E+11,ALLIED AVIATION SERVICE CO OF NEW JERSEY INC,BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIR,ELIZABETH,ESSEX,NJ,7201,Methyl tert-butyl ether
2021,07201GDNVTNAVED,1.10E+11,ALLIED AVIATION SERVICE CO OF NEW JERSEY INC,BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIR,ELIZABETH,ESSEX,NJ,7201,Benzene
2021,07410FSHRS1REAG,1.10E+11,FISHER SCIENTIFIC CO L.L. C.,1 REAGENT LN,FAIR LAWN,BERGEN,NJ,7410,Formic acid
2021,08846MRSLN125FA,1.10E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,125 FACTORY LN,MIDDLESEX,MIDDLESEX,NJ,8846,Phenol
2021,07644HKMTL35IND,1.10E+11,HK METALCRAFT MANUFACTURING CORP,35 INDUSTRIAL RD,LODI,BERGEN,NJ,7644,Nickel
2021,07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,Formaldehyde
2021,07077SHLLL111ST,1.10E+11,SEWAREN TERMINAL,111 STATE ST,SEWAREN,MIDDLESEX,NJ,7077,Polycyclic aromatic compounds
2021,08002MYCND616HO,1.10E+11,MYCONE DENTAL SUPPLY CO. INC. CHERRY HILL NJ,616 HOLLYWOOD AVE,CHERRY HILL,CAMDEN,NJ,8002,Benzoyl peroxide
2021,07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,Ammonia
2021,07032SWWST115JA,1.10E+11,CLEAN EARTH OF NORTH JERSEY INC,105 JACOBUS AVE,KEARNY,HUDSON,NJ,7032,Nickel  And Nickel Compounds
2021,08862WTCCR1000C,1.10E+11,LANXESS CORP,1000 CONVERY BLVD,PERTH AMBOY,MIDDLESEX,NJ,8861,Triethylamine
2021,08102FWWNTDELAW,1.10E+11,FW WINTER INC & CO,DELAWARE AVE & ELM ST,CAMDEN,CAMDEN,NJ,8102,Vanadium compounds
2021,07083LCNPW901LE,1.10E+11,ACUPOWDER INTERNATIONAL LLC,901 LEHIGH AVE,UNION,UNION,NJ,7083,Zinc (fume or dust)
2021,07866PTTTP36PIN,1.10E+11,MODERN RECREATIONAL TECHNOLOGIES INC. (FORMERLY KOP-COAT MAR,36 PINE ST,ROCKAWAY,MORRIS,NJ,7866,Ethylbenzene
2021,08846MRSLN125FA,1.10E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,125 FACTORY LN,MIDDLESEX,MIDDLESEX,NJ,8846,Toluene
2021,07728FRSTB250HA,1.10E+11,PRESTONE PRODUCTS CORP,250 HALLS MILL RD,FREEHOLD,MONMOUTH,NJ,7728,Certain glycol ethers
2021,07032SWWST115JA,1.10E+11,CLEAN EARTH OF NORTH JERSEY INC,105 JACOBUS AVE,KEARNY,HUDSON,NJ,7032,Polycyclic aromatic compounds
2021,08070GNSCHINDUS,1.10E+11,SIEGFRIED USA LLC,33 INDUSTRIAL PARK RD,PENNSVILLE,SALEM,NJ,8070,n-Butyl alcohol
2021,08846MRSLN125FA,1.10E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,125 FACTORY LN,MIDDLESEX,MIDDLESEX,NJ,8846,Acetonitrile
2021,07036CTGPT4801S,1.10E+11,CITGO PETROLEUM CORP,4801 S WOOD AVE,LINDEN,UNION,NJ,7036,Lead  And Lead Compounds
2021,07114NWJRS139HA,1.10E+11,NEW JERSEY GALVANIZING & TINNING WORKS,139 HAYNES AVE,NEWARK,ESSEX,NJ,7114,Lead
2021,0884WNTGRT132ST,1.10E+11,II-VI ADVANCED MATERIALS HILLSBOROUGH,132 STRYKER LN,HILLSBOROUGH,SOMERSET,NJ,8844,Lead compounds
2021,08873WMZNS39BEL,1.10E+11,RUST-OLEUM CORP,173 BELMONT DR,SOMERSET,SOMERSET,NJ,8873,Ethylene glycol
2021,0802WCHMRS67CAN,1.10E+11,CHEMOURS CHAMBERS WORKS,67 CANAL ROAD,DEEPWATER,SALEM,NJ,8023,Ammonia
2021,07506FSKLL10THO,1.10E+11,FISK ALLOY WIRE INC,10 THOMAS RD,HAWTHORNE,PASSAIC,NJ,7506,Copper
2021,07105NWRKT909DE,1.10E+11,SHELL OIL PRODUCTS US NEWARK TERMINAL,909 DELANCY ST,NEWARK,ESSEX,NJ,7105,Toluene
2021,07114GJCHM37037,1.10E+11,DOREMUS TERMINAL LLC,128 DOREMUS AVE,NEWARK,ESSEX,NJ,7105,Xylene (mixed isomers)
2021,08619MNVLLATLAN,1.10E+11,JOHNS MANVILLE,437 N GROVE ST,BERLIN,CAMDEN,NJ,8009,Lead compounds
2021,08846MRSLN125FA,1.10E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,125 FACTORY LN,MIDDLESEX,MIDDLESEX,NJ,8846,n-Hexane
2021,08816MNCND5JOAN,1.10E+11,MON-ECO INDUSTRIES INC.,5 JOANNA CT,EAST BRUNSWICK,MIDDLESEX,NJ,8816,Toluene
2021,07506FSKLL10THO,1.10E+11,FISK ALLOY WIRE INC,10 THOMAS RD,HAWTHORNE,PASSAIC,NJ,7506,Ammonia
2021,08857MDSNNOLDWA,1.10E+11,MADISON INDUSTRIES,554 WATERWORKS ROAD,OLD BRIDGE,MIDDLESEX,NJ,8857,Manganese  And Manganese Compounds
2021,08846MRSLN125FA,1.10E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,125 FACTORY LN,MIDDLESEX,MIDDLESEX,NJ,8846,Methanol
2021,07083LCNPW901LE,1.10E+11,ACUPOWDER INTERNATIONAL LLC,901 LEHIGH AVE,UNION,UNION,NJ,7083,Antimony
